CentreCode,CityCode,CentreName
7020,715,iON Digital Zone iDZ Mohali
7021,715,iON Digital Zone iDZ Jaulan Kalan
7022,715,Rayat Bahra Polytechnic & Skill Development Center
7023,716,iON Digital Zone iDZ Bahadurgarh Patiala
7024,717,iON Digital Zone iDZ Kuanwala
7025,717,iON Digital Zone iDZ Selaqui
7026,717,Uttaranchal University
7027,717,Tulas Institute
7028,718,iON DIGITAL ZONE iDZ CHARAYAL
7029,718,iON Digital Zone iDZ Teenpani
7030,719,Future Infotech
7031,720,iON Digital Zone iDZ Kishanpur
7032,721,iON Digital Zone iDZ 1 Sikandra
7033,721,iON Digital Zone iDZ Kuberpur (Centre A)
7034,721,iON Digital Zone iDZ Kuberpur (Centre B)
7035,721,iON Digital Zone iDZ 2 Sikandra
7036,721,iON Digital Zone iDZ Tehra
7037,721,Smt. Bhudevi P.G College Agra
7038,722,iON Digital Zone iDZ Karsua
7039,723,iON Digital Zone iDZ Dohna (Centre A)
7040,723,iON Digital Zone iDZ Dohna (Centre B)
7041,724,iON Digital Zone iDZ 2 Duhai
7042,724,BBDIT A Block Duhai
7043,725,Shri Chandanvan IT Solutions
7044,725,Ishwar Chand Vidyasagar Inst. of Tech. & Management
7045,726,iON Digital Zone IDZ Green Park
7046,726,iON Digital Zone Ganga Nagar Meerut
7047,727,iON Digital Zone iDZ Ram Ganga Vihar Phase 2
